Symbol,Name,Book Value Per Share,Price / Book Value
INOD,Innodata Inc.,0.89392,9.10596
VRRM,Verra Mobility Corp. Class A,2.5305,9.100968
CCG,Cheche Group Inc. Class A,0.70683,9.096954
RXST,"RxSight, Inc.",4.4373,9.086607
OFLX,"Omega Flex, Inc.",7.79537,9.045113
VSAC,Vision Sensing Acquisition Corp. Class A,1.226,9.017129
CFLT,Confluent Inc Class A,2.60156,8.994603
TXG,10x Genomics Inc Class A,6.22227,8.993503
MDXG,"MiMedx Group, Inc.",0.97599,8.985747
ABEO,"Abeona Therapeutics, Inc.",0.55897,8.962914
NOVT,Novanta Inc,18.80438,8.955893
DYN,Dyne Therapeutics Inc,1.48518,8.955144
CHSN,Chanson International Holding Class A,0.13634,8.948217
ISRG,"Intuitive Surgical, Inc.",37.77349,8.931131
INTS,"Intensity Therapeutics, Inc.",0.96007,8.926433
LAMR,Lamar Advertising Company Class A,11.91757,8.917926
MFH,"Mercurity Fintech Holding, Inc.",0.29321,8.867365
ASCB,A SPAC II Acquisition Corp. Class A,1.22737,8.864483
PLAY,"Dave & Buster's Entertainment, Inc.",6.23789,8.847543
RCMT,"RCM Technologies, Inc.",3.28752,8.833406
LEGN,Legend Biotech Corp. Sponsored ADR,6.87903,8.746873
HLNE,Hamilton Lane Incorporated Class A,12.95145,8.706361
MEDS,"TRxADE HEALTH, Inc.",0.59928,8.670905
CVRX,"CVRx, Inc.",3.63745,8.643417
LNZA,"LanzaTech Global, Inc.",0.58213,8.640681
ARDX,"Ardelyx, Inc.",0.71763,8.639549
HON,Honeywell International Inc.,24.31224,8.625696
TELA,"TELA Bio, Inc.",0.77082,8.588257
MKTX,MarketAxess Holdings Inc.,34.1154,8.5841
SGEN,"Seagen, Inc.",15.02913,8.550728
FIAC,Focus Impact Acquisition Corp. Class A,1.29818,8.431034
SKYT,SkyWater Technology Inc,1.14272,8.41851
IRMD,IRadimed Corp.,5.64126,8.414786
IMMX,"Immix Biopharma, Inc.",0.82345,8.403667
ELAB,ELEVAI Labs Inc.,0.22084,8.278392
CLIR,ClearSign Technologies Corporation,0.13421,8.27062
XPEL,"XPEL, Inc.",6.51425,8.266493
NXT,Nextracker Inc. Class A,6.82667,8.242672
SOWG,Sow Good Inc.,1.2075,8.198758
AAON,"AAON, Inc.",9.02023,8.18937
LPLA,LPL Financial Holdings Inc.,27.84731,8.17386
MAMA,"Mama's Creations, Inc.",0.52881,8.150375
HHR,HeadHunter Group Plc Sponsored ADR,1.84747,8.13545
ENVX,Enovix Corporation,1.54217,8.11843
SLNO,Soleno Therapeutics Inc,4.9721,8.095171
NARI,"Inari Medical, Inc.",8.04866,8.065939
SEAT,Vivid Seats Inc. Class A,0.78444,8.056703
MGRM,Monogram Technologies Inc.,0.4275,8.046783
RTC,Baijiayun Group Ltd. Class A,1.0209,8.032128
REAX,Real Brokerage Inc.,0.20084,7.96654
CDMO,"Avid Bioservices, Inc.",0.95786,7.965673
CLPT,"ClearPoint Neuro, Inc.",0.85885,7.905921
WEST,Westrock Coffee Company,1.29175,7.904006
DYAI,"Dyadic International, Inc.",0.20404,7.89061
WINV,WinVest Acquisition Corp.,1.4214,7.82679
SMTI,"Sanara MedTech, Inc.",5.25261,7.824681
AMZN,"Amazon.com, Inc.",19.44284,7.814702
BNAI,Brand Engagement Network Inc.,1.36001,7.808766
ZYXI,"Zynex, Inc.",1.40066,7.774906
USGO,U.S. GoldMining Inc.,0.985,7.77066
BRKR,Bruker Corporation,9.48715,7.745213
KOPN,Kopin Corporation,0.26288,7.722155
HA,"Hawaiian Holdings, Inc.",1.84132,7.711859
DALN,DallasNews Corporation Class A,0.55264,7.690359
BFRG,"BullFrog AI Holdings, Inc.",0.42533,7.664637
MGRX,"Mangoceuticals, Inc.",0.03617,7.655516
IPDN,"Professional Diversity Network, Inc.",0.26617,7.626705
PDD,PDD Holdings Inc. Sponsored ADR Class A,19.18859,7.624844
WFRD,Weatherford International plc,12.83333,7.623119
RXDX,"Prometheus Biosciences, Inc",14.43091,7.622527
IMVT,Immunovant Inc,4.24333,7.614303
PRVB,"Provention Bio, Inc.",1.3899,7.604864
MRSN,"Mersana Therapeutics, Inc.",0.30572,7.588643
PRCT,PROCEPT BioRobotics Corp.,5.52977,7.578977
EWCZ,"European Wax Center, Inc. Class A",1.71921,7.561613
ADMA,"ADMA Biologics, Inc.",0.59809,7.557391
MYNZ,Mainz Biomed N.V.,0.15352,7.556019
VCEL,Vericel Corporation,4.72416,7.537848
PMGM,Priveterra Acquisition Corp. II Class A,1.35085,7.535996
LEDS,SemiLEDs Corporation,0.23295,7.469414
ADER,26 Capital Acquisition Corp. Class A,1.35819,7.462137
AMIX,"Autonomix Medical, Inc.",0.40475,7.461396
CERS,Cerus Corporation,0.29049,7.435712
FLUX,"Flux Power Holdings, Inc.",0.57993,7.431931
SGD,Safe and Green Development Corporation,0.18878,7.41604
ARAV,"Aravive, Inc.",0.17808,7.412399
MLTX,MoonLake Immunotherapeutics Class A,8.19753,7.366853
CGBS,Crown LNG Holdings Limited,1.52495,7.314994
MNST,Monster Beverage Corporation,7.90032,7.292109
GLBE,Global-e Online Ltd.,5.44102,7.283561
FEBO,Fenbo Holdings Limited,0.69593,7.270846
ETON,"Eton Pharmaceuticals, Inc.",0.6025,7.26971
MCHP,Microchip Technology Incorporated,12.40591,7.231231
STEP,"StepStone Group, Inc. Class A",4.94516,7.227269
